feature_idx,label,max_activation,mean_activation,activation_freq,is_task_feature,top_prompt
0,[dead],0.0,0.0,0.0,False,
1,,0.879668653011322,0.6990962028503418,0.96,False,France is a country in Western Europe
2,,2.094882011413574,1.651192307472229,0.96,False,France is a country in Western Europe
3,,1.0373069047927856,0.7643401622772217,0.84,False,Shakespeare wrote thirty seven plays
4,,0.34620851278305054,0.34620851278305054,0.04,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Egypt:
5,,1.0351405143737793,0.7158550024032593,0.92,False,Japan has a rich cultural history
6,,0.4819459915161133,0.4438900053501129,0.44,False,The quick brown fox jumps over the lazy dog
7,,1.0310955047607422,0.8782414197921753,0.84,False,Japan has a rich cultural history
8,,1.9951372146606445,1.7122489213943481,0.96,False,The Amazon River is the largest river
9,,0.8623318076133728,0.6390946507453918,0.56,False,Paris is a beautiful city in France
10,,0.7377294898033142,0.4810982346534729,0.8,False,Berlin has a vibrant arts scene
11,,0.662161111831665,0.48412856459617615,0.6,False,Photosynthesis converts sunlight into energy
12,,0.21065446734428406,0.21065446734428406,0.04,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Russia:
13,,0.3947818875312805,0.2935870587825775,0.6,False,Paris is a beautiful city in France
14,[dead],0.0,0.0,0.0,False,
15,,1.4781866073608398,1.1946868896484375,0.96,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Canada:
16,,0.2640761137008667,0.2257656753063202,0.6,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Egypt:
17,[dead],0.0,0.0,0.0,False,
18,[dead],0.0,0.0,0.0,False,
19,,1.281798005104065,0.6541502475738525,0.84,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Germany:
20,[dead],0.0,0.0,0.0,False,
21,,0.9175630211830139,0.6414545774459839,0.76,False,Photosynthesis converts sunlight into energy
22,[dead],0.0,0.0,0.0,False,
23,,0.8013946413993835,0.5752394795417786,0.72,False,France is a country in Western Europe
24,,0.7248252034187317,0.5341918468475342,0.8,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Nigeria:
25,[dead],0.0,0.0,0.0,False,
26,,0.5219879746437073,0.13072453439235687,0.32,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Russia:
27,,0.8179866075515747,0.6441466808319092,0.76,False,The quick brown fox jumps over the lazy dog
28,,0.9212342500686646,0.7182299494743347,0.64,False,Photosynthesis converts sunlight into energy
29,,0.32945895195007324,0.23705808818340302,0.56,False,Japan has a rich cultural history
30,[dead],0.0,0.0,0.0,False,
